Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
Columbus McKinnon Corporation,Capital Goods,5.0,2.752406445,0.841221855,-0.068598361,0.035438352,0.661400124,1.953338349,-0.221713764,0.006258766,B
Comcast Corporation,Consumer Services,7.833333333333333,0.8002503993333333,0.228751453,0.10309929699999999,0.20624998233333333,0.689769149,2.2282467103333334,0.13741196516666668,0.24183049533333334,A
Commercial Metals Company,Basic Industries,6.25,3.0294192535,0.5125788465,0.019447519,0.0223157265,0.6294106992499999,1.701117897,0.10510054625000001,0.02956839525,BB
"Commercial Vehicle Group, Inc.",Capital Goods,5.0,2.7460632703999996,0.6723977056,0.0140437062,0.0348337498,0.8854163082,-506.48558057400004,-11.427013272,0.0322731844,B
"Compass Minerals International, Inc.",Basic Industries,6.0,2.5297911322499997,0.57299333275,0.1433910935,0.19043475425,0.63070559825,1.75640474125,0.26128823425,0.16821990375,BB
"Comstock Resources, Inc.",Energy,4.666666666666667,0.997662012,0.7104620346666667,-1.6733997393333333,-1.907216072,1.0218004656666666,-3.549929259666667,2.1822500463333334,0.235446211,B
"ConAgra Brands, Inc.",Consumer Non-Durables,7.0,1.107999517,0.055313878,-0.015954625,-0.031296582,0.741993593,2.875872735,-0.055810871,0.093517092,BBB
Concho Resources Inc.,Energy,5.8,0.9936605618,0.0916622134,-0.020675376000000002,0.06437638620000001,0.5071240372,1.0842679396,0.0455970776,0.6685914354,BB
ConocoPhillips,Energy,8.2,1.1929741302,0.3041585398,0.0649007286,0.0649007286,0.5740298751999999,1.3507037148,0.11260592700000001,0.2254349114,A
"Consolidated Communications Holdings, Inc.",Public Utilities,5.0,1.363166547,0.6815910025,0.0408839485,0.136602253,0.942063492,18.080668414999998,0.2969051925,0.2962894195,B
